# Directed Hypercube random graph, dimension 6, seed 8
n = 64
0 : 1w37 2w13 4w43 8w99 16w16 32w73
1 : 0w82 33w82 34w66 36w13 40w85 48w61
2 : 0w61 17w53 18w40 20w76 24w84 48w95
3 : 16w80 32w88 49w63 50w42 52w81 56w39
4 : 0w21 9w53 10w14 12w69 24w15 40w13
5 : 8w7 32w90 41w23 42w49 44w45 56w68
6 : 8w26 16w36 25w65 26w6 28w12 56w47
7 : 24w13 40w2 48w64 57w30 58w22 60w10
8 : 0w35 5w92 6w46 12w81 20w68 36w47
9 : 4w38 32w67 37w40 38w68 44w40 52w38
10 : 4w3 16w71 21w14 22w40 28w33 52w18
11 : 20w64 36w98 48w99 53w87 54w90 60w68
12 : 4w30 8w35 13w97 14w24 28w16 44w40
13 : 12w5 36w46 40w53 45w71 46w12 60w46
14 : 12w40 20w53 24w78 29w41 30w46 60w83
15 : 28w53 44w59 52w67 56w25 61w90 62w98
16 : 0w91 3w24 6w6 10w43 18w62 34w45
17 : 2w16 32w36 35w24 38w30 42w89 50w47
18 : 2w62 16w99 19w24 22w18 26w19 50w99
19 : 18w97 34w83 48w96 51w50 54w94 58w73
20 : 2w43 8w1 11w94 14w75 26w100 42w81
21 : 10w82 34w77 40w50 43w5 46w99 58w91
22 : 10w30 18w49 24w2 27w69 30w13 58w54
23 : 26w48 42w4 50w20 56w45 59w11 62w48
24 : 2w9 4w75 7w80 14w84 22w35 38w7
25 : 6w64 34w9 36w53 39w59 46w7 54w31
26 : 6w4 18w90 20w94 23w85 30w15 54w92
27 : 22w69 38w6 50w98 52w25 55w22 62w3
28 : 6w17 10w11 12w8 15w40 30w66 46w6
29 : 14w6 38w93 42w49 44w9 47w54 62w36
30 : 14w72 22w78 26w15 28w44 31w4 62w74
31 : 30w58 46w16 54w95 58w63 60w14 63w94
32 : 0w59 3w11 5w17 9w61 17w14 33w96
33 : 1w82 32w83 35w84 37w5 41w23 49w60
34 : 1w19 16w18 19w91 21w79 25w97 49w30
35 : 17w94 33w0 48w20 51w21 53w3 57w77
36 : 1w67 8w62 11w97 13w5 25w62 41w18
37 : 9w10 33w55 40w82 43w80 45w18 57w70
38 : 9w9 17w76 24w37 27w96 29w45 57w7
39 : 25w87 41w48 49w21 56w41 59w16 61w67
40 : 1w99 4w27 7w94 13w77 21w27 37w28
41 : 5w45 33w28 36w70 39w46 45w84 53w29
42 : 5w14 17w82 20w31 23w28 29w51 53w84
43 : 21w76 37w3 49w86 52w37 55w2 61w20
44 : 5w68 9w20 12w34 15w8 29w18 45w82
45 : 13w7 37w70 41w68 44w47 47w32 61w29
46 : 13w67 21w21 25w30 28w100 31w8 61w7
47 : 29w81 45w68 53w18 57w59 60w13 63w24
48 : 1w22 2w11 7w19 11w14 19w25 35w92
49 : 3w72 33w72 34w14 39w20 43w34 51w74
50 : 3w39 17w58 18w87 23w85 27w44 51w29
51 : 19w21 35w24 49w88 50w80 55w77 59w65
52 : 3w48 9w32 10w36 15w75 27w44 43w70
53 : 11w42 35w67 41w7 42w30 47w54 59w91
54 : 11w95 19w4 25w94 26w97 31w52 59w96
55 : 27w13 43w86 51w50 57w95 58w11 63w63
56 : 3w90 5w60 6w53 15w57 23w54 39w56
57 : 7w92 35w77 37w58 38w53 47w77 55w83
58 : 7w93 19w61 21w46 22w72 31w91 55w25
59 : 23w50 39w50 51w7 53w38 54w22 63w48
60 : 7w65 11w3 13w82 14w71 31w28 47w61
61 : 15w2 39w67 43w53 45w87 46w6 63w80
62 : 15w4 23w63 27w92 29w35 30w60 63w84
63 : 31w99 47w54 55w54 59w53 61w52 62w94
